INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTranTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,year,minicam.non.energy.input,input-cost
DE,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
FL,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
GA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
HI,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
ID,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IL,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IN,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
KS,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
KY,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
LA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MD,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
ME,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MI,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MN,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MO,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MS,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MT,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NC,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
ND,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NE,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NH,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NJ,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NM,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NV,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NY,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OH,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OK,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OR,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
PA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
RI,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
SC,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
SD,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
TN,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
TX,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
UT,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
VA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
VT,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WA,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WI,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WV,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WY,trn_pass_road_LDV_4W,Car,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AK,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AL,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AR,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AZ,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
CA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
CO,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
CT,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
DC,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
DE,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
FL,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
GA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
HI,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
ID,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IL,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IN,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
KS,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
KY,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
LA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MD,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
ME,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MI,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MN,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MO,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MS,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MT,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NC,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
ND,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NE,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NH,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NJ,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NM,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NV,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NY,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OH,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OK,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OR,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
PA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
RI,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
SC,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
SD,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
TN,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
TX,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
UT,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
VA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
VT,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WA,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WI,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WV,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WY,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AK,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AL,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AR,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AZ,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
CA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
CO,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
CT,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
DC,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
DE,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
FL,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
GA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
HI,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
ID,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IL,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
IN,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
KS,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
KY,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
LA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MD,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
ME,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MI,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MN,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MO,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MS,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
MT,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NC,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
