########## Scenario Component Metadata ##########
#Scenario component type: Tech Bound
#Sector: All
#Technologies: elect_td_bld : rooftop_pv=>rooftop_pv : rooftop_pv : EJ;
#Constraint: Lower
#Treatment: Across Selected Regions
#Policy name: Lo_All_Tech_Reg2
#Market name: Lo_All_Tech_Reg_Mkt2
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025 , 1.55
#Table data:2030 , 2.01
#Table data:2035 , 2.52
#Table data:2040 , 3.03
#Table data:2045 , 3.44
#Table data:2050 , 3.79
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdTechLoBoundP1-Nest

region,sector,nested-subsector,subsector,tech,year,policy-name
CO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
CO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
CO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
CT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
DC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
DE,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
FL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
GA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
HI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
IA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
ID,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
IL,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
IN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
KS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
KY,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
LA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
MA,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
MD,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
ME,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
MI,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
MN,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
MO,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
MS,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2025,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2030,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2035,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2040,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2045,Lo_All_Tech_Reg2
MT,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2050,Lo_All_Tech_Reg2
NC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2010,Lo_All_Tech_Reg2
NC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2015,Lo_All_Tech_Reg2
NC,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_pv,2020,Lo_All_Tech_Reg2
